ReactomeID,filename
Acyl chain remodelling of PI,R-HSA-1482922
Synthesis of PC,R-HSA-1483191
PI and PC transport between ER and Golgi membranes,R-HSA-1483196
Acyl chain remodeling of CL,R-HSA-1482798
PI Metabolism,R-HSA-1483255
PIPs transport between late endosome and Golgi membranes,R-HSA-1660508
Synthesis of PIPs at the plasma membrane,R-HSA-1660499
Glycerophospholipid catabolism,R-HSA-6814848
PIPs transport between plasma and early endosome membranes,R-HSA-1660524
PIPs transport between early and late endosome membranes,R-HSA-1660502
Synthesis of PIPs at the Golgi membrane,R-HSA-1660514
PIPs transport between early endosome and Golgi membranes,R-HSA-1660537
PI and PC transport between ER and Golgi membranes,R-HSA-1483196
Synthesis of PIPs at the early endosome membrane,R-HSA-1660516
Synthesis of PIPs at the ER membrane,R-HSA-1483248
Synthesis of PIPs at the late endosome membrane,R-HSA-1660517
PIPs transport between Golgi and plasma membranes,R-HSA-1660510
Bile acid and bile salt metabolism,R-HSA-194068
Recycling of bile acids and salts,R-HSA-159418
Synthesis of bile acids and bile salts,R-HSA-192105
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,R-HSA-193775
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,R-HSA-193807
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,R-HSA-193368
Metabolism of steroid hormones,R-HSA-196071
Mineralocorticoid biosynthesis,R-HSA-193993
Glucocorticoid biosynthesis,R-HSA-194002
Estrogen biosynthesis,R-HSA-193144
Androgen biosynthesis,R-HSA-193048
Pregnenolone biosynthesis,R-HSA-196108
Cholesterol biosynthesis,R-HSA-191273
Cholesterol biosynthesis via desmosterol,R-HSA-6807047
Cholesterol biosynthesis via lathosterol,R-HSA-6807062
Ubiquinol biosynthesis,R-HSA-2142789
Sphingolipid metabolism,R-HSA-428157
Sphingolipid de novo biosynthesis,R-HSA-1660661
Glycosphingolipid metabolism,R-HSA-1660662
"Fatty acid, triacylglycerol, and ketone body metabolism",R-HSA-535734
Ketone body metabolism,R-HSA-74182
Synthesis of Ketone Bodies,R-HSA-77111
Utilization of Ketone Bodies,R-HSA-77108
Import of palmitoyl-CoA into the mitochondrial matrix,R-HSA-200425
Triglyceride Biosynthesis,R-HSA-75109
Fatty Acyl-CoA Biosynthesis,R-HSA-75105
Synthesis of very long-chain fatty acyl-CoAs,R-HSA-75876
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha),R-HSA-400206
PPARA activates gene expression,R-HSA-1989781
Mitochondrial Fatty Acid Beta-Oxidation,R-HSA-77289
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids,R-HSA-77288
Propionyl-CoA catabolism,R-HSA-71032
mitochondrial fatty acid beta-oxidation of saturated fatty acids,R-HSA-77286
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,R-HSA-77350
Beta oxidation of myristoyl-CoA to lauroyl-CoA,R-HSA-77285
Beta oxidation of butanoyl-CoA to acetyl-CoA,R-HSA-77352
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,R-HSA-77305
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,R-HSA-77348
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,R-HSA-77346
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,R-HSA-77310
Peroxisomal lipid metabolism,R-HSA-390918
Plasmalogen biosynthesis,R-HSA-75896
Alpha-oxidation of phytanate,R-HSA-389599
Beta-oxidation of very long chain fatty acids,R-HSA-390247
Beta-oxidation of pristanoyl-CoA,R-HSA-389887
NADPH regeneration,R-HSA-389542
Inositol phosphate metabolism,R-HSA-1483249
IPs transport between ER lumen and cytosol,R-HSA-1855215
IP3 and IP4 transport between cytosol and nucleus,R-HSA-1855196
Synthesis of pyrophosphates in the cytosol,R-HSA-1855167
Synthesis of IPs in the ER lumen,R-HSA-1855231
IPs transport between cytosol and ER lumen,R-HSA-1855184
Synthesis of IP3 and IP4 in the cytosol,R-HSA-1855204
IP6 and IP7 transport between cytosol and nucleus,R-HSA-1855229
IPs transport between nucleus and cytosol,R-HSA-1855170
Synthesis of IPs in the nucleus,R-HSA-1855191
IPs transport between nucleus and ER lumen,R-HSA-1855192
"Synthesis of IP2, IP, and Ins in the cytosol",R-HSA-1855183
IPs transport between ER lumen and nucleus,R-HSA-1855156
Biological oxidations,R-HSA-211859
Aflatoxin activation and detoxification,R-HSA-5423646
Phase 1 - Functionalization of compounds,R-HSA-211945
Amine Oxidase reactions,R-HSA-140179
PAOs oxidise polyamines to amines,R-HSA-141334
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,R-HSA-141333
Cytochrome P450 - arranged by substrate type,R-HSA-211897
Xenobiotics,R-HSA-211981
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,R-HSA-211957
CYP2E1 reactions,R-HSA-211999
Eicosanoids,R-HSA-211979
Fatty acids,R-HSA-211935
Miscellaneous substrates,R-HSA-211958
Endogenous sterols,R-HSA-211976
Sterols are 12-hydroxylated by CYP8B1,R-HSA-211994
Vitamins,R-HSA-211916
COX reactions,R-HSA-140180
Ethanol oxidation,R-HSA-71384
FMO oxidises nucleophiles,R-HSA-217271
Phase II conjugation,R-HSA-156580
Amino Acid conjugation,R-HSA-156587
Conjugation of carboxylic acids,R-HSA-159424
Conjugation of benzoate with glycine,R-HSA-177135
Conjugation of phenylacetate with glutamine,R-HSA-177162
Conjugation of salicylate with glycine,R-HSA-177128
Glutathione conjugation,R-HSA-156590
Glutathione synthesis and recycling,R-HSA-174403
Glucuronidation,R-HSA-156588
"Formation of the active cofactor, UDP-glucuronate",R-HSA-173599
Cytosolic sulfonation of small molecules,R-HSA-156584
Transport and synthesis of PAPS,R-HSA-174362
Methylation,R-HSA-156581
Acetylation,R-HSA-156582
Metabolism of nucleotides,R-HSA-15869
Phosphate bond hydrolysis by NTPDase proteins,R-HSA-8850843
Purine metabolism,R-HSA-73847
Purine ribonucleoside monophosphate biosynthesis,R-HSA-73817
Purine salvage,R-HSA-74217
Purine catabolism,R-HSA-74259
Synthesis and interconversion of nucleotide di- and triphosphates,R-HSA-499943
Pyrimidine metabolism,R-HSA-73848
Pyrimidine catabolism,R-HSA-73621
Pyrimidine salvage reactions,R-HSA-73614
Pyrimidine biosynthesis,R-HSA-500753
Phosphate bond hydrolysis by NUDT proteins,R-HSA-2393930
Integration of energy metabolism,R-HSA-163685
PP2A-mediated dephosphorylation of key metabolic factors,R-HSA-163767
ChREBP activates metabolic gene expression,R-HSA-163765
AMPK inhibits chREBP transcriptional activation activity,R-HSA-163680
Insulin effects increased synthesis of Xylulose-5-Phosphate,R-HSA-163754
Regulation of insulin secretion,R-HSA-422356
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,R-HSA-381676
Acetylcholine regulates insulin secretion,R-HSA-399997
"Adrenaline,noradrenaline inhibits insulin secretion",R-HSA-400042
Free fatty acids regulate insulin secretion,R-HSA-400451
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,R-HSA-434316
Glucagon signaling in metabolic regulation,R-HSA-163359
PKA activation in glucagon signalling,R-HSA-164378
PKA-mediated phosphorylation of key metabolic factors,R-HSA-163358
Response to metal ions,R-HSA-5660526
Metallothioneins bind metals,R-HSA-5661231
Metabolism of vitamins and cofactors,R-HSA-196854
Metabolism of fat-soluble vitamins,R-HSA-6806667
Metabolism of vitamin K,R-HSA-6806664
Vitamin D (calciferol) metabolism,R-HSA-196791
Retinoid metabolism and transport,R-HSA-975634
Metabolism of water-soluble vitamins and cofactors,R-HSA-196849
Nicotinate metabolism,R-HSA-196807
Nicotinamide salvaging,R-HSA-197264
Vitamin B2 (riboflavin) metabolism,R-HSA-196843
Vitamin C (ascorbate) metabolism,R-HSA-196836
Vitamins B6 activation to pyridoxal phosphate,R-HSA-964975
Vitamin B5 (pantothenate) metabolism,R-HSA-199220
Coenzyme A biosynthesis,R-HSA-196783
Biotin transport and metabolism,R-HSA-196780
Vitamin B1 (thiamin) metabolism,R-HSA-196819
Metabolism of folate and pterines,R-HSA-196757
Molybdenum cofactor biosynthesis,R-HSA-947581
"Cobalamin (Cbl, vitamin B12) transport and metabolism",R-HSA-196741
Metabolism of nitric oxide,R-HSA-202131
eNOS activation and regulation,R-HSA-203765
NOSTRIN mediated eNOS trafficking,R-HSA-203641
NOSIP mediated eNOS trafficking,R-HSA-203754
eNOS activation,R-HSA-203615
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",R-HSA-1474151
O2/CO2 exchange in erythrocytes,R-HSA-1480926
Erythrocytes take up oxygen and release carbon dioxide,R-HSA-1247673
Erythrocytes take up carbon dioxide and release oxygen,R-HSA-1237044
Metabolism of carbohydrates,R-HSA-71387
Hexose transport,R-HSA-189200
Glucose transport,R-HSA-70153
Regulation of Glucokinase by Glucokinase Regulatory Protein,R-HSA-170822
Galactose catabolism,R-HSA-70370
Digestion of dietary carbohydrate,R-HSA-189085
Glycosaminoglycan metabolism,R-HSA-1630316
Transport and synthesis of PAPS,R-HSA-174362
Hyaluronan metabolism,R-HSA-2142845
Hyaluronan uptake and degradation,R-HSA-2160916
Hyaluronan biosynthesis and export,R-HSA-2142850
Heparan sulfate/heparin (HS-GAG) metabolism,R-HSA-1638091
HS-GAG biosynthesis,R-HSA-2022928
A tetrasaccharide linker sequence is required for GAG synthesis,R-HSA-1971475
HS-GAG degradation,R-HSA-2024096
Keratan sulfate/keratin metabolism,R-HSA-1638074
Keratan sulfate biosynthesis,R-HSA-2022854
Keratan sulfate degradation,R-HSA-2022857
Chondroitin sulfate/dermatan sulfate metabolism,R-HSA-1793185
CS/DS degradation,R-HSA-2024101
Dermatan sulfate biosynthesis,R-HSA-2022923
Chondroitin sulfate biosynthesis,R-HSA-2022870
A tetrasaccharide linker sequence is required for GAG synthesis,R-HSA-1971475
Glucose metabolism,R-HSA-70326
Glycolysis,R-HSA-70171
Glycogen breakdown (glycogenolysis),R-HSA-70221
Lysosomal glycogen catabolism,R-HSA-5357572
Glycogen synthesis,R-HSA-3322077
Gluconeogenesis,R-HSA-70263
Lysosomal oligosaccharide catabolism,R-HSA-8853383
Lactose synthesis,R-HSA-5653890
Catabolism of glucuronate to xylulose-5-phosphate,R-HSA-5661270
5-Phosphoribose 1-diphosphate biosynthesis,R-HSA-73843
Pentose phosphate pathway (hexose monophosphate shunt),R-HSA-71336
Fructose metabolism,R-HSA-5652084
Fructose biosynthesis,R-HSA-5652227
Fructose catabolism,R-HSA-70350
Abacavir transport and metabolism,R-HSA-2161522
Abacavir metabolism,R-HSA-2161541
Abacavir transmembrane transport,R-HSA-2161517
Developmental Biology,R-HSA-1266738
Transcriptional regulation of white adipocyte differentiation,R-HSA-381340
Regulation of beta-cell development,R-HSA-186712
Regulation of gene expression in early pancreatic precursor cells,R-HSA-210747
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,R-HSA-210744
Regulation of gene expression in beta cells,R-HSA-210745
AKT-mediated inactivation of FOXO1A,R-HSA-211163
Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,R-HSA-210746
Myogenesis,R-HSA-525793
CDO in myogenesis,R-HSA-375170
Axon guidance,R-HSA-422475
NCAM signaling for neurite out-growth,R-HSA-375165
NCAM1 interactions,R-HSA-419037
RAF/MAP kinase cascade,R-HSA-5673001
Negative regulation of MAPK pathway,R-HSA-5675221
Negative feedback regulation of MAPK pathway,R-HSA-5674499
Regulation of RAS by GAPs,R-HSA-5658442
MAP2K and MAPK activation,R-HSA-5674135
RAF activation,R-HSA-5673000
Netrin-1 signaling,R-HSA-373752
Netrin mediated repulsion signals,R-HSA-418886
Role of second messengers in netrin-1 signaling,R-HSA-418890
DCC mediated attractive signaling,R-HSA-418885
Signaling by Robo receptor,R-HSA-376176
Role of Abl in Robo-Slit signaling,R-HSA-428890
Activation of Rac,R-HSA-428540
Inactivation of Cdc42 and Rac,R-HSA-428543
Regulation of Commissural axon pathfinding by Slit and Robo,R-HSA-428542
L1CAM interactions,R-HSA-373760
CHL1 interactions,R-HSA-447041
NrCAM interactions,R-HSA-447038
Neurofascin interactions,R-HSA-447043
Interaction between L1 and Ankyrins,R-HSA-445095
Recycling pathway of L1,R-HSA-437239
Signal transduction by L1,R-HSA-445144
EPH-Ephrin signaling,R-HSA-2682334
EPHB-mediated forward signaling,R-HSA-3928662
EPH-ephrin mediated repulsion of cells,R-HSA-3928665
EPHA-mediated growth cone collapse,R-HSA-3928663
Ephrin signaling,R-HSA-3928664
RET signaling,R-HSA-8853659
RAF/MAP kinase cascade,R-HSA-5673001
MAP2K and MAPK activation,R-HSA-5674135
Regulation of RAS by GAPs,R-HSA-5658442
RAF activation,R-HSA-5673000
Negative regulation of MAPK pathway,R-HSA-5675221
Negative feedback regulation of MAPK pathway,R-HSA-5674499
Semaphorin interactions,R-HSA-373755
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,R-HSA-399955
Sema3A PAK dependent Axon repulsion,R-HSA-399954
CRMPs in Sema3A signaling,R-HSA-399956
Other semaphorin interactions,R-HSA-416700
Sema4D in semaphorin signaling,R-HSA-400685
Sema4D induced cell migration and growth-cone collapse,R-HSA-416572
Sema4D mediated inhibition of cell attachment and migration,R-HSA-416550
Transcriptional regulation of pluripotent stem cells,R-HSA-452723
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",R-HSA-2892247
"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",R-HSA-2892245
LGI-ADAM interactions,R-HSA-5682910
Signaling by NODAL,R-HSA-1181150
Regulation of signaling by NODAL,R-HSA-1433617
Activation of HOX genes during differentiation,R-HSA-5619507
Activation of anterior HOX genes in hindbrain development during early embryogenesis,R-HSA-5617472
Vesicle-mediated transport,R-HSA-5653656
Membrane Trafficking,R-HSA-199991
trans-Golgi Network Vesicle Budding,R-HSA-199992
Clathrin derived vesicle budding,R-HSA-421837
Lysosome Vesicle Biogenesis,R-HSA-432720
Golgi Associated Vesicle Biogenesis,R-HSA-432722
Gap junction trafficking and regulation,R-HSA-157858
Gap junction trafficking,R-HSA-190828
Gap junction assembly,R-HSA-190861
Transport of connexins along the secretory pathway,R-HSA-190827
Transport of connexons to the plasma membrane,R-HSA-190872
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,R-HSA-190840
Oligomerization of connexins into connexons,R-HSA-190704
Gap junction degradation,R-HSA-190873
Formation of annular gap junctions,R-HSA-196025
Regulation of gap junction activity,R-HSA-191650
c-src mediated regulation of Cx43 function and closure of gap junctions,R-HSA-191647
Endosomal Sorting Complex Required For Transport (ESCRT),R-HSA-917729
ER to Golgi Anterograde Transport,R-HSA-199977
Cargo concentration in the ER,R-HSA-5694530
COPI-mediated anterograde transport,R-HSA-6807878
COPII (Coat Protein 2) Mediated Vesicle Transport,R-HSA-204005
Intra-Golgi and retrograde Golgi-to-ER traffic,R-HSA-6811442
Intra-Golgi traffic,R-HSA-6811438
Retrograde transport at the Trans-Golgi-Network,R-HSA-6811440
Golgi-to-ER retrograde transport,R-HSA-8856688
COPI-dependent Golgi-to-ER retrograde traffic,R-HSA-6811434
COPI-independent Golgi-to-ER retrograde traffic,R-HSA-6811436
Clathrin-mediated endocytosis,R-HSA-8856828
Cargo recognition for clathrin-mediated endocytosis,R-HSA-8856825
Translocation of GLUT4 to the plasma membrane,R-HSA-1445148
Binding and Uptake of Ligands by Scavenger Receptors,R-HSA-2173782
Scavenging by Class A Receptors,R-HSA-3000480
Scavenging by Class F Receptors,R-HSA-3000484
Scavenging of heme from plasma,R-HSA-2168880
Scavenging by Class B Receptors,R-HSA-3000471
Scavenging by Class H Receptors,R-HSA-3000497
Muscle contraction,R-HSA-397014
Striated Muscle Contraction,R-HSA-390522
Cardiac conduction,R-HSA-5576891
Physiological factors,R-HSA-5578768
Phase 2 - plateau phase,R-HSA-5576893
Phase 1 - inactivation of fast Na+ channels,R-HSA-5576894
Ion homeostasis,R-HSA-5578775
Phase 3 - rapid repolarisation,R-HSA-5576890
Phase 0 - rapid depolarisation,R-HSA-5576892
Phase 4 - resting membrane potential,R-HSA-5576886
Smooth Muscle Contraction,R-HSA-445355
Hemostasis,R-HSA-109582
"Platelet activation, signaling and aggregation",R-HSA-76002
Platelet Aggregation (Plug Formation),R-HSA-76009
Adrenaline signalling through Alpha-2 adrenergic receptor,R-HSA-392023
Integrin alphaIIb beta3 signaling,R-HSA-354192
GRB2:SOS provides linkage to MAPK signaling for Integrins,R-HSA-354194
p130Cas linkage to MAPK signaling for integrins,R-HSA-372708
Signal amplification,R-HSA-392518
Thromboxane signalling through TP receptor,R-HSA-428930
ADP signalling through P2Y purinoceptor 1,R-HSA-418592
ADP signalling through P2Y purinoceptor 12,R-HSA-392170
Thrombin signalling through proteinase activated receptors (PARs),R-HSA-456926
GPVI-mediated activation cascade,R-HSA-114604
Response to elevated platelet cytosolic Ca2+,R-HSA-76005
Disinhibition of SNARE formation,R-HSA-114516
Platelet degranulation,R-HSA-114608
Effects of PIP2 hydrolysis,R-HSA-114508
Arachidonate production from DAG,R-HSA-426048
GP1b-IX-V activation signalling,R-HSA-430116
Factors involved in megakaryocyte development and platelet production,R-HSA-983231
Kinesins,R-HSA-983189
Platelet homeostasis,R-HSA-418346
Nitric oxide stimulates guanylate cyclase,R-HSA-392154
cGMP effects,R-HSA-418457
Platelet sensitization by LDL,R-HSA-432142
Platelet calcium homeostasis,R-HSA-418360
Reduction of cytosolic Ca++ levels,R-HSA-418359
Elevation of cytosolic Ca2+ levels,R-HSA-139853
Prostacyclin signalling through prostacyclin receptor,R-HSA-392851
Platelet Adhesion to exposed collagen,R-HSA-75892
Formation of Fibrin Clot (Clotting Cascade),R-HSA-140877
Common Pathway of Fibrin Clot Formation,R-HSA-140875
Extrinsic Pathway of Fibrin Clot Formation,R-HSA-140834
Intrinsic Pathway of Fibrin Clot Formation,R-HSA-140837
Cell surface interactions at the vascular wall,R-HSA-202733
