molregno,n_total,n_select,pref_name,min_value,is_agonist,CHEMICAL_ID,canonical_smiles,tanimoto,tid,organism,component_id,accession,group,orthogonal
1586694,6,4.0,Neuropeptide Y receptor type 4,0.53,FALSE,CHEMBL2440193,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]3C[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H]4C[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N)C4(C)C)C3(C)C,1.0,10143,Homo sapiens,3193,P50391,1.0,PRIMARY
457258,35,3.0,Neurotensin receptor 1,0.99,FALSE,CHEMBL506981,COc1cccc(OC)c1c2cc(nn2c3ccnc4cc(Cl)ccc34)C(=O)NC5(C6CC7CC(CC5C7)C6)C(=O)O,1.0,12910,Homo sapiens,2442,P30989,1.0,PRIMARY
1062932,10,4.0,Nociceptin receptor,0.96,FALSE,CHEMBL1650848,CC1CN(CCN1)c2nc3ccccc3n2C4CCN(CC4)C5(CO)CCCCCCC5,1.0,138,Homo sapiens,344,P41146,1.0,PRIMARY
1511751,9,2.0,Peroxisome proliferator-activated receptor alpha,12.0,FALSE,CHEMBL2312702,CC(C)c1ccccc1c2ccc(O[C@@H](Cc3ccccc3)C(=O)O)cc2,1.0,163,Homo sapiens,245,Q07869,1.0,PRIMARY
56133,119,12.0,Peroxisome proliferator-activated receptor delta,0.18,FALSE,CHEMBL38943,Cc1cc(SCc2sc(nc2C)c3ccc(cc3)C(F)(F)F)ccc1OCC(=O)O,1.0,12227,Homo sapiens,2298,Q03181,1.0,PRIMARY
173090,90,3.0,Peroxisome proliferator-activated receptor gamma,0.339,FALSE,CHEMBL107367,Cc1oc(nc1CCOc2ccc(C[C@H](Nc3ccccc3C(=O)c4ccccc4)C(=O)O)cc2)c5ccccc5,1.0,133,Homo sapiens,241,P37231,1.0,PRIMARY
1511270,12,7.0,Serotonin 1a (5-HT1a) receptor,0.55,FALSE,CHEMBL2312226,COc1cccc(OC)c1OCCNC[C@H]2COCC(O2)(c3ccccc3)c4ccccc4,1.0,51,Homo sapiens,266,P08908,1.0,PRIMARY
311361,6,4.0,Serotonin 1f (5-HT1f) receptor,13.0,FALSE,CHEMBL186951,CN1CCC(CC1)N2CNc3ccc(NC(=O)c4ccc(F)cc4Cl)cc23,1.0,279,Homo sapiens,99,P30939,1.0,PRIMARY
267852,11,7.0,Serotonin 2a (5-HT2a) receptor,50.7,FALSE,CHEMBL348588,CNCCc1c[nH]c2ccccc12,1.0,107,Homo sapiens,308,P28223,1.0,PRIMARY
1839259,12,10.0,Serotonin 2c (5-HT2c) receptor,4.2,FALSE,CHEMBL3416063,Cl.NC[C@H]1C[C@@H]1c2cc(F)ccc2OCC=C,1.0,108,Homo sapiens,309,P28335,1.0,PRIMARY
575750,24,19.0,Serotonin 6 (5-HT6) receptor,4.8,FALSE,CHEMBL571858,CN(C)CCn1cc(c2cccnc12)S(=O)(=O)c3cccc(F)c3,1.0,10627,Homo sapiens,1693,P50406,1.0,PRIMARY
1784355,8,2.0,Serotonin 7 (5-HT7) receptor,2.7,FALSE,CHEMBL3321798,O=C1Cc2ccccc2N1CC\C=C\CCN3CC[C@H]4CCCC[C@@H]4C3,1.0,10209,Homo sapiens,1480,P34969,1.0,PRIMARY
590329,10,6.0,Sphingosine 1-phosphate receptor Edg-1 ,2.0,FALSE,CHEMBL601062,Cc1nn(C(=O)\C=C\c2cccc3[nH]ccc23)c4C[C@@H]5[C@H](c14)C5(C)C,1.0,11631,Homo sapiens,2651,P21453,1.0,PRIMARY
91783,92,21.0,Vanilloid receptor,5.3,FALSE,CHEMBL294199,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O,1.0,10260,Homo sapiens,3111,Q8NER1,1.0,PRIMARY
308821,18,3.0,Vasopressin V2 receptor,0.74,FALSE,CHEMBL363910,Cc1ccn(n1)c2ccc(C(=O)N3Cc4cccn4Cc5ccccc35)c(Cl)c2,1.0,112,Homo sapiens,81,P30518,1.0,PRIMARY
1176462,17,14.0,11-beta-hydroxysteroid dehydrogenase 1,0.8,FALSE,CHEMBL1829763,C[C@H](N1CC[C@@](CCO)(OC1=O)c2ccc(F)cc2)c3ccc(cc3)c4ccc(F)cc4F,1.0,11489,Homo sapiens,2554,P28845,1.0,PRIMARY
708504,12,4.0,11-beta-hydroxysteroid dehydrogenase 2,2.9,FALSE,CHEMBL1269273,CN(O)C(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)C)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1,1.0,20127,Homo sapiens,2062,P80365,1.0,PRIMARY
832142,19,4.0,15-hydroxyprostaglandin dehydrogenase [NAD+],54.0,FALSE,CHEMBL1408258,Cc1cc(c(C)n1c2ccccc2)c3nnc4CCCCCn34,1.0,103688,Homo sapiens,5150,P15428,1.0,PRIMARY
1140776,12,5.0,3-phosphoinositide dependent protein kinase-1,0.794,FALSE,CHEMBL1765750,CNc1nc(cc(n1)c2ccc3c(N)n[nH]c3c2)N4C[C@H](C)C[C@H](C4)N(C)C(=O)OC(C)(C)C,1.0,10612,Homo sapiens,873,O15530,1.0,PRIMARY
1266257,13,6.0,5-lipoxygenase activating protein,0.7,FALSE,CHEMBL1922660,CCOc1ccc(cn1)c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc34)cc2,1.0,10102,Homo sapiens,2867,P20292,1.0,PRIMARY
1841167,7,3.0,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",21.0,FALSE,CHEMBL3421731,Cn1cc(cn1)c2cn(C)c3ccc(Oc4ccc(NC(=O)[C@@H]5CCCN5)cc4)cc23,1.0,105649,Homo sapiens,7285,Q16875,1.0,PRIMARY
378065,129,16.0,Acetylcholinesterase,12.0,FALSE,CHEMBL226335,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(Oc4cc(O)cc(O)c4C3=O)c5ccc(O)c(O)c5)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,1.0,93,Homo sapiens,357,P22303,1.0,PRIMARY
350483,13,4.0,Acetyl-CoA carboxylase 2,19.0,FALSE,CHEMBL377212,CC(C)Oc1ccc(Oc2ncc(C#CC(C)NC(=O)C)s2)cc1,1.0,10608,Homo sapiens,3146,O00763,1.0,PRIMARY
1794081,6,2.0,Activin receptor type-1,6.0,FALSE,CHEMBL3341943,COc1cc(cc(OC)c1OC)c2cc(cnc2N)c3cccc(NS(=O)(=O)C)c3,1.0,101598,Homo sapiens,4377,Q04771,1.0,PRIMARY
478229,5,3.0,Acyl-CoA desaturase,0.05,FALSE,CHEMBL494748,COc1ccc(cc1)C2=Nc3ccc(NCc4ccc(Cl)c(c4)C(F)(F)F)cc3N(CCNC(=O)C)C2=O,1.0,101234,Homo sapiens,3846,O00767,1.0,PRIMARY
319012,8,3.0,Acyl coenzyme A:cholesterol acyltransferase,2.2,FALSE,CHEMBL190672,Brc1csc(c1)C(=O)C(=O)c2cc(Br)cs2,1.0,11627,Homo sapiens,606,P23141,1.0,PRIMARY
1524189,6,4.0,Acyl coenzyme A:cholesterol acyltransferase 2,0.9,FALSE,CHEMBL2334539,CC(=O)OC[C@]1(C)[C@H](CC[C@@]2(C)[C@H]1C[C@H](OC(=O)c3ccc(cc3)C#N)[C@@]4(C)OC5=C([C@H](O)[C@H]24)C(=O)OC(=C5)c6cccnc6)OC(=O)C,1.0,11204,Homo sapiens,2781,O75908,1.0,PRIMARY
423909,6,5.0,ADAM10,12.0,FALSE,CHEMBL253665,Cc1cc(ccc1C2CCN(CC2)S(=O)(=O)CC3(CCN(CC3)C(=O)O[C@H]4CCOC4)C(=O)NO)C#N,1.0,100155,Homo sapiens,3339,O14672,1.0,PRIMARY
353877,16,11.0,ADAM17,2.0,FALSE,CHEMBL380049,CC#CCOc1ccc(cc1)S(=O)(=O)CC2(CCN(CC2)C(=O)C)C(=O)NO,1.0,11473,Homo sapiens,2021,P78536,1.0,PRIMARY
1427518,9,9.0,ADAMTS5,30.0,FALSE,CHEMBL2164094,CCCNc1nc(NCc2cn(C)cn2)nc(n1)N3CCC[C@@H]3CNS(=O)(=O)c4ccc(CCC)cc4,1.0,12862,Homo sapiens,626,Q9UNA0,1.0,PRIMARY
147863,44,18.0,Adenosine A1 receptor,0.33,FALSE,CHEMBL327708,CCCN1C(=O)N(CCCOC(=O)c2ccc(cc2)S(=O)(=O)F)c3[nH]c(nc3C1=O)C4CCCC4,1.0,114,Homo sapiens,159,P30542,1.0,PRIMARY
122252,47,10.0,Adenosine A2a receptor,2.2,FALSE,CHEMBL431770,CCN1C(=O)N(CC)c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2C1=O,1.0,252,Homo sapiens,326,P29274,1.0,PRIMARY
431277,45,12.0,Adenosine A2b receptor,1.65,FALSE,CHEMBL260331,CCCN1C(=O)N(CCC)c2nc([nH]c2C1=O)c3cc(OCC(=O)Nc4ccc5OCOc5c4)nn3C,1.0,278,Homo sapiens,184,P29275,1.0,PRIMARY
12170,131,4.0,Adenosine A3 receptor,16.0,FALSE,CHEMBL273481,NCc1onc(O)c1,1.0,280,Homo sapiens,275,P0DMS8,1.0,PRIMARY
504507,33,10.0,Aldo-keto-reductase family 1 member C3,56.0,FALSE,CHEMBL511708,CC(=CCc1cc(\C=C\C(=O)O)ccc1OC(=O)CCc2ccccc2)C,1.0,100481,Homo sapiens,2999,P42330,1.0,PRIMARY
772213,18,5.0,Aldose reductase,8.96,FALSE,CHEMBL1348329,O=C1NC(=O)\C(=C\c2cccc3ccccc23)\S1,1.0,242,Homo sapiens,215,P15121,1.0,PRIMARY
1172607,12,3.0,ALK tyrosine kinase receptor,9.0,FALSE,CHEMBL1822525,COc1cc(ccc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCN(C[C@H](C)O)CC5,1.0,100417,Homo sapiens,2566,Q9UM73,1.0,PRIMARY
1558152,5,5.0,"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",1.58,FALSE,CHEMBL2376316,CCC1(CC)CNc2ccc(cc2C(=O)N1)S(=O)(=O)Nc3ccc(F)cc3F,1.0,105619,Homo sapiens,7251,Q10469,1.0,PRIMARY
33734,30,7.0,Alpha-1a adrenergic receptor,1.0,FALSE,CHEMBL279436,CC1=C(C(C(=C(C)N1)C(=O)NCCCN2CCC(CC2)(c3ccccc3)c4ccccc4)c5ccc(cc5)[N+](=O)[O-])C(=O)N,1.0,125,Homo sapiens,146,P35348,1.0,PRIMARY
1584126,44,40.0,Alpha-1b adrenergic receptor,9.4,FALSE,CHEMBL2432063,CN(CC1CCCCC1)[C@H]2C3C4CC5C6C4CC3C6C25,1.0,128,Homo sapiens,258,P35368,1.0,PRIMARY
119851,5,2.0,Alpha-2a adrenergic receptor,10.0,FALSE,CHEMBL77913,COc1ccc(Nc2ncc[nH]2)c(C)c1,1.0,52,Homo sapiens,180,P08913,1.0,PRIMARY
175722,85,9.0,Alpha-2c adrenergic receptor,27.99,FALSE,CHEMBL106525,CN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2,1.0,218,Homo sapiens,230,P18825,1.0,PRIMARY
1615512,6,3.0,"Amine oxidase, copper containing",71.0,FALSE,CHEMBL3110303,O=C1C=C(NC2CCCCC2)C(=NN1c3ccccc3)c4nc[nH]n4,1.0,20143,Homo sapiens,1759,Q16853,1.0,PRIMARY
429149,7,3.0,Aminopeptidase N,27.54,FALSE,CHEMBL259019,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CN)C(C)C)C(=O)N[C@@H](Cc2cnc[nH]2)C(=O)N3CCC[C@H]3C(=O)N[C@H](CC(=O)O)Cc4ccccc4,1.0,243,Homo sapiens,220,P15144,1.0,PRIMARY
450555,22,9.0,Anandamide amidohydrolase,11.0,FALSE,CHEMBL460273,O=C(Nc1ccccc1)N2CCN(CC2)c3nc(ns3)c4ccccc4,1.0,11291,Homo sapiens,584,O00519,1.0,PRIMARY
6787,114,9.0,Androgen Receptor,25.0,FALSE,CHEMBL491,CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+](=O)[O-],1.0,56,Homo sapiens,187,P10275,1.0,PRIMARY
316752,12,3.0,Angiotensin II type 2 (AT-2) receptor,0.4,FALSE,CHEMBL189568,CCCCOC(=O)NS(=O)(=O)c1sc(CC(C)C)cc1c2ccc(Cn3ccnc3)cc2,1.0,10692,Homo sapiens,2924,P50052,1.0,PRIMARY
1732959,3,3.0,Apelin,0.04,FALSE,CHEMBL3234446,CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H](N)CCCCN)C(=O)N5CCC[C@H]5C(=O)N[C@@H](Cc6ccccc6)C(=O)O,1.0,108275,Homo sapiens,8519,Q9ULZ1,1.0,PRIMARY
1793179,22,11.0,Apelin receptor,33.7,FALSE,CHEMBL3338677,CCCCCCCCCCCCCCCC(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc4ccc(O)cc4)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc5ccc(O)cc5)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N,1.0,103800,Homo sapiens,4828,P35414,1.0,PRIMARY
1426284,8,2.0,Apoptosis regulator Bcl-X,1.0,FALSE,CHEMBL2159735,CN(C)CC[C@H](CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)Nc3ccc(cc3)N4CCN(CC4)c5cccc(c5)c6c(C(=O)NCCCN7CCN(C)CC7)c(C)n(C)c6c8ccc(Cl)cc8,1.0,100217,Homo sapiens,2942,Q07817,1.0,PRIMARY
1574696,18,4.0,Arachidonate 5-lipoxygenase,13.0,FALSE,CHEMBL2413471,COc1cc(\C=C\c2cc([nH]n2)c3ccc(O)c(OC)c3)ccc1O,1.0,55,Homo sapiens,168,P09917,1.0,PRIMARY
451889,39,5.0,ATP-binding cassette sub-family G member 2,12.0,FALSE,CHEMBL488910,COc1ccc2c3C[C@@H]4N([C@@H](CC(C)C)c3[nH]c2c1)C(=O)[C@H](CCC(=O)OC(C)(C)C)NC4=O,1.0,100974,Homo sapiens,3688,Q9UNQ0,1.0,PRIMARY
1587951,11,10.0,ATP-sensitive inward rectifier potassium channel 1,64.0,FALSE,CHEMBL2441437,O=C(Cc1ccc(cc1)n2cnnn2)N3CCN(CCc4ccc5C(=O)OCc5c4)CC3,1.0,103725,Homo sapiens,5071,P48048,1.0,PRIMARY
1608797,3,2.0,Baculoviral IAP repeat-containing protein 2,1.2,FALSE,CHEMBL3094407,CC[C@H](NC)C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H]3CCCN3C[C@H]2C(=O)N[C@@H]4CCOc5ccccc45,1.0,100988,Homo sapiens,3754,Q13490,1.0,PRIMARY
1515302,4,3.0,Baculoviral IAP repeat-containing protein 3,1.3,FALSE,CHEMBL2316217,CCO[C@@H]1C[C@@H]2CN([C@@H](CN2C1)C(=O)N[C@@H]3CCOc4ccccc34)C(=O)[C@@H](NC(=O)[C@H](C)NC)C5CCC(F)(F)CC5,1.0,100952,Homo sapiens,3631,Q13489,1.0,PRIMARY
122859,17,4.0,Beta-1 adrenergic receptor,10.96,FALSE,CHEMBL75753,OC(CNCCNC(=O)N1CCOCC1)COc2ccc(O)cc2,1.0,50,Homo sapiens,185,P08588,1.0,PRIMARY
242716,117,16.0,Beta-2 adrenergic receptor,0.251,FALSE,CHEMBL1263,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc2ccccc2,1.0,43,Homo sapiens,213,P07550,1.0,PRIMARY
12055,29,11.0,Beta-3 adrenergic receptor,0.43,FALSE,CHEMBL12998,CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2,1.0,226,Homo sapiens,2091,P13945,1.0,PRIMARY
1341821,7,2.0,Beta-glucocerebrosidase,0.4,FALSE,CHEMBL2029773,Cl.CCCCCCCCSCC[C@H]1NC[C@@H](O)[C@H](O)[C@H]1O,1.0,10733,Homo sapiens,520,P04062,1.0,PRIMARY
613995,13,5.0,Beta-glucosidase,1.0,FALSE,CHEMBL1086996,OC[C@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCC23CC4CC(CC(C4)C2)C3,1.0,11815,Homo sapiens,2077,Q9HCG7,1.0,PRIMARY
317938,38,12.0,Beta-secretase 1,25.0,FALSE,CHEMBL190346,CCSc1nsc(NC(=O)Nc2cccc(c2)C(=O)C)n1,1.0,12252,Homo sapiens,3139,P56817,1.0,PRIMARY
1791809,36,9.0,Bile acid receptor FXR,8.0,FALSE,CHEMBL3335672,COc1ccc(C(=O)Nc2cccc(c2)C(=O)O)c(NC(=O)c3ccc(cc3)C(C)(C)C)c1,1.0,11180,Homo sapiens,387,Q96RI1,1.0,PRIMARY
1338484,8,2.0,Bombesin receptor subtype-3,1.4,FALSE,CHEMBL2023109,CC(C)(O)c1onc(n1)c2cccc3Nc4nc(ccc4CN(c23)S(=O)(=O)c5ccc(OC(F)(F)F)cc5)C(F)(F)F,1.0,10679,Homo sapiens,2399,P32247,1.0,PRIMARY
382721,44,11.0,Bone morphogenetic protein 1,26.0,FALSE,CHEMBL226630,NC(=O)c1noc(n1)[C@H](CCCC2CCCCC2)CC(=O)NO,1.0,10144,Homo sapiens,2218,P13497,1.0,PRIMARY
1365083,59,36.0,Bradykinin B1 receptor,1.6,FALSE,CHEMBL2087421,COc1cc(C)c(c(C)c1)S(=O)(=O)N(C)CCOCC(=O)N2CCN(CC2)C3CCN(C)CC3,1.0,11156,Homo sapiens,2625,P46663,1.0,PRIMARY
366521,9,2.0,Bradykinin B2 receptor,0.0501,FALSE,CHEMBL218427,Cc1cc(C)c2cccc(OCc3c(Cl)ccc(c3Cl)S(=O)(=O)NC4(CCOCC4)C(=O)N5CCN(CC5)C(=O)[C@@H](N)CCC[N+](C)(C)C)c2n1,1.0,10034,Homo sapiens,1482,P30411,1.0,PRIMARY
650181,6,2.0,C3a anaphylatoxin chemotactic receptor,12.59,FALSE,CHEMBL1170026,CSCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N4CCC[C@H]4C(=O)N[C@@H](CC(C)C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,1.0,10785,Homo sapiens,3077,Q16581,1.0,PRIMARY
